timestamp,sensor_id,reading
2025-04-18 18:12:34,0,-3.90
2025-04-18 18:12:36,1,27.44
2025-04-18 18:12:37,2,-4.76
2025-04-18 18:12:41,0,-3.92
2025-04-18 18:12:42,1,27.59
2025-04-18 18:12:44,2,-5.10
2025-04-18 18:12:46,0,-3.83
2025-04-18 18:12:48,1,27.50
2025-04-18 18:12:50,2,-5.36
2025-04-18 18:12:53,0,-3.92
2025-04-18 18:12:55,1,27.46
2025-04-18 18:12:56,2,-5.12
2025-04-18 18:12:59,0,-4.18
2025-04-18 18:13:00,1,27.63
2025-04-18 18:13:02,2,-4.78
2025-04-18 18:13:04,0,-3.85
2025-04-18 18:13:06,1,27.50
2025-04-18 18:13:07,2,-4.84
2025-04-18 18:13:11,0,-3.85
2025-04-18 18:13:12,1,27.65
2025-04-18 18:13:14,2,-4.75
2025-04-18 18:13:16,0,-3.92
2025-04-18 18:13:18,1,27.46
2025-04-18 18:13:19,2,-3.87
2025-04-18 18:13:23,0,-3.81
2025-04-18 18:13:24,1,27.46
2025-04-18 18:13:26,2,-4.78
