datetime,sensor_id,raw_value,percent
2025-03-18 01:44:39,0,874,85.43
2025-03-18 01:44:40,0,873,85.34
2025-03-18 01:44:41,0,874,85.43
2025-03-18 01:44:42,0,874,85.43
2025-03-18 01:44:45,0,803,78.49
2025-03-18 01:44:46,0,875,85.53
2025-03-18 01:44:47,0,874,85.43
2025-03-18 01:44:48,0,874,85.43
2025-03-18 01:44:49,0,874,85.43
2025-03-18 01:44:50,0,874,85.43
2025-03-18 01:44:51,0,874,85.43
2025-03-18 01:44:52,0,874,85.43
2025-03-18 01:44:55,0,802,78.40
2025-03-18 01:44:56,0,874,85.43
2025-03-18 01:44:57,0,874,85.43
2025-03-18 01:44:58,0,874,85.43
2025-03-18 01:44:59,0,874,85.43
2025-03-18 01:45:00,0,875,85.53
2025-03-18 01:45:01,0,875,85.53
2025-03-18 01:45:02,0,875,85.53
2025-03-18 01:45:05,0,802,78.40
2025-03-18 01:45:06,0,875,85.53
2025-03-18 01:45:07,0,875,85.53
2025-03-18 01:45:08,0,874,85.43
2025-03-18 01:45:09,0,874,85.43
2025-03-18 01:45:10,0,874,85.43
2025-03-18 01:45:11,0,874,85.43
2025-03-18 01:45:12,0,873,85.34
2025-03-18 01:45:15,0,804,78.59
2025-03-18 01:45:16,0,875,85.53
2025-03-18 01:45:17,0,874,85.43
2025-03-18 01:45:18,0,874,85.43
2025-03-18 01:45:19,0,874,85.43
2025-03-18 01:45:20,0,874,85.43
2025-03-18 01:45:21,0,875,85.53
2025-03-18 01:45:22,0,875,85.53
2025-03-18 01:45:25,0,802,78.40
2025-03-18 01:45:26,0,874,85.43
2025-03-18 01:45:27,0,874,85.43
2025-03-18 01:45:28,0,874,85.43
2025-03-18 01:45:29,0,874,85.43
2025-03-18 01:45:30,0,874,85.43
2025-03-18 01:45:31,0,875,85.53
2025-03-18 01:45:32,0,874,85.43
2025-03-18 01:45:35,0,801,78.30
2025-03-18 01:45:36,0,875,85.53
2025-03-18 01:45:37,0,874,85.43
2025-03-18 01:45:38,0,875,85.53
2025-03-18 01:45:39,0,874,85.43
2025-03-18 01:45:40,0,875,85.53
2025-03-18 01:45:41,0,875,85.53
2025-03-18 01:45:42,0,874,85.43
2025-03-18 01:45:45,0,806,78.79
2025-03-18 01:45:46,0,875,85.53
2025-03-18 01:45:47,0,874,85.43
2025-03-18 01:45:48,0,874,85.43
2025-03-18 01:45:49,0,874,85.43
2025-03-18 01:45:50,0,873,85.34
2025-03-18 01:45:51,0,874,85.43
2025-03-18 01:45:52,0,874,85.43
2025-03-18 01:45:55,0,802,78.40
2025-03-18 01:45:56,0,874,85.43
2025-03-18 01:45:57,0,875,85.53
2025-03-18 01:45:58,0,874,85.43
2025-03-18 01:45:59,0,873,85.34
2025-03-18 01:46:00,0,875,85.53
2025-03-18 01:46:01,0,875,85.53
2025-03-18 01:46:02,0,875,85.53
2025-03-18 01:46:05,0,802,78.40
2025-03-18 01:46:06,0,875,85.53
2025-03-18 01:46:07,0,874,85.43
2025-03-18 01:46:08,0,875,85.53
2025-03-18 01:46:09,0,875,85.53
2025-03-18 01:46:10,0,875,85.53
2025-03-18 01:46:11,0,874,85.43
2025-03-18 01:46:12,0,874,85.43
2025-03-18 01:46:15,0,803,78.49
2025-03-18 01:46:16,0,874,85.43
2025-03-18 01:46:17,0,873,85.34
2025-03-18 01:46:18,0,874,85.43
2025-03-18 01:46:19,0,875,85.53
2025-03-18 01:46:20,0,875,85.53
2025-03-18 01:46:21,0,875,85.53
2025-03-18 01:46:22,0,875,85.53
2025-03-18 01:46:25,0,802,78.40
2025-03-18 01:46:26,0,875,85.53
2025-03-18 01:46:27,0,875,85.53
2025-03-18 01:46:28,0,875,85.53
2025-03-18 01:46:29,0,874,85.43
2025-03-18 01:46:30,0,874,85.43
2025-03-18 01:46:31,0,875,85.53
2025-03-18 01:46:32,0,874,85.43
2025-03-18 01:46:35,0,801,78.30
2025-03-18 01:46:36,0,874,85.43
2025-03-18 01:46:37,0,874,85.43
2025-03-18 01:46:38,0,874,85.43
2025-03-18 01:46:39,0,875,85.53
2025-03-18 01:46:40,0,873,85.34
2025-03-18 01:46:41,0,873,85.34
2025-03-18 01:46:42,0,875,85.53
2025-03-18 01:46:45,0,801,78.30
2025-03-18 01:46:46,0,873,85.34
2025-03-18 01:46:47,0,874,85.43
2025-03-18 01:46:48,0,875,85.53
2025-03-18 01:46:49,0,875,85.53
2025-03-18 01:46:50,0,874,85.43
2025-03-18 01:46:51,0,873,85.34
2025-03-18 01:46:52,0,874,85.43
2025-03-18 01:46:55,0,800,78.20
2025-03-18 01:46:56,0,875,85.53
2025-03-18 01:46:57,0,873,85.34
2025-03-18 01:46:58,0,874,85.43
2025-03-18 01:46:59,0,875,85.53
2025-03-18 01:47:00,0,874,85.43
2025-03-18 01:47:01,0,874,85.43
2025-03-18 01:47:02,0,874,85.43
2025-03-18 01:47:05,0,802,78.40
2025-03-18 01:47:06,0,874,85.43
2025-03-18 01:47:07,0,874,85.43
2025-03-18 01:47:08,0,874,85.43
2025-03-18 01:47:09,0,875,85.53
2025-03-18 01:47:10,0,875,85.53
2025-03-18 01:47:11,0,874,85.43
2025-03-18 01:47:12,0,875,85.53
2025-03-18 01:47:15,0,801,78.30
2025-03-18 01:47:16,0,874,85.43
2025-03-18 01:47:17,0,874,85.43
2025-03-18 01:47:18,0,875,85.53
2025-03-18 01:47:19,0,874,85.43
2025-03-18 01:47:20,0,875,85.53
2025-03-18 01:47:21,0,874,85.43
2025-03-18 01:47:22,0,874,85.43
2025-03-18 01:47:25,0,802,78.40
2025-03-18 01:47:26,0,874,85.43
2025-03-18 01:47:27,0,875,85.53
2025-03-18 01:47:28,0,875,85.53
2025-03-18 01:47:29,0,875,85.53
2025-03-18 01:47:30,0,874,85.43
2025-03-18 01:47:31,0,875,85.53
2025-03-18 01:47:32,0,874,85.43
2025-03-18 01:47:35,0,802,78.40
2025-03-18 01:47:36,0,875,85.53
2025-03-18 01:47:37,0,874,85.43
2025-03-18 01:47:38,0,874,85.43
2025-03-18 01:47:39,0,874,85.43
2025-03-18 01:47:40,0,874,85.43
2025-03-18 01:47:41,0,874,85.43
2025-03-18 01:47:42,0,874,85.43
2025-03-18 01:47:45,0,803,78.49
2025-03-18 01:47:46,0,875,85.53
2025-03-18 01:47:47,0,873,85.34
2025-03-18 01:47:48,0,875,85.53
2025-03-18 01:47:49,0,875,85.53
2025-03-18 01:47:50,0,874,85.43
2025-03-18 01:47:51,0,874,85.43
2025-03-18 01:47:52,0,875,85.53
2025-03-18 01:47:55,0,801,78.30
2025-03-18 01:47:56,0,874,85.43
2025-03-18 01:47:57,0,874,85.43
2025-03-18 01:47:58,0,873,85.34
2025-03-18 01:47:59,0,874,85.43
2025-03-18 01:48:00,0,874,85.43
2025-03-18 01:48:01,0,874,85.43
2025-03-18 01:48:02,0,874,85.43
2025-03-18 01:48:05,0,802,78.40
2025-03-18 01:48:06,0,874,85.43
2025-03-18 01:48:07,0,874,85.43
2025-03-18 01:48:08,0,874,85.43
2025-03-18 01:48:09,0,874,85.43
2025-03-18 01:48:10,0,873,85.34
2025-03-18 01:48:11,0,874,85.43
2025-03-18 01:48:12,0,874,85.43
2025-03-18 01:48:15,0,803,78.49
2025-03-18 01:48:16,0,874,85.43
2025-03-18 01:48:17,0,874,85.43
2025-03-18 01:48:18,0,875,85.53
2025-03-18 01:48:19,0,874,85.43
2025-03-18 01:48:20,0,874,85.43
2025-03-18 01:48:21,0,874,85.43
2025-03-18 01:48:22,0,875,85.53
2025-03-18 01:48:25,0,800,78.20
2025-03-18 01:48:26,0,875,85.53
2025-03-18 01:48:27,0,874,85.43
2025-03-18 01:48:28,0,874,85.43
2025-03-18 01:48:29,0,874,85.43
2025-03-18 01:48:30,0,874,85.43
2025-03-18 01:48:31,0,874,85.43
2025-03-18 01:48:32,0,874,85.43
2025-03-18 01:48:35,0,800,78.20
2025-03-18 01:48:36,0,874,85.43
2025-03-18 01:48:37,0,874,85.43
2025-03-18 01:48:38,0,875,85.53
2025-03-18 01:48:39,0,875,85.53
2025-03-18 01:48:40,0,875,85.53
2025-03-18 01:48:41,0,875,85.53
2025-03-18 01:48:42,0,873,85.34
2025-03-18 01:48:45,0,800,78.20
2025-03-18 01:48:46,0,874,85.43
2025-03-18 01:48:47,0,875,85.53
2025-03-18 01:48:48,0,874,85.43
2025-03-18 01:48:49,0,874,85.43
2025-03-18 01:48:50,0,875,85.53
2025-03-18 01:48:51,0,874,85.43
2025-03-18 01:48:52,0,874,85.43
2025-03-18 01:48:55,0,801,78.30
2025-03-18 01:48:56,0,875,85.53
2025-03-18 01:48:57,0,874,85.43
2025-03-18 01:48:58,0,875,85.53
2025-03-18 01:48:59,0,874,85.43
2025-03-18 01:49:00,0,874,85.43
2025-03-18 01:49:01,0,874,85.43
2025-03-18 01:49:02,0,873,85.34
2025-03-18 01:49:05,0,799,78.10
2025-03-18 01:49:06,0,874,85.43
2025-03-18 01:49:07,0,874,85.43
2025-03-18 01:49:08,0,874,85.43
2025-03-18 01:49:09,0,874,85.43
2025-03-18 01:49:10,0,874,85.43
2025-03-18 01:49:11,0,874,85.43
2025-03-18 01:49:12,0,874,85.43
2025-03-18 01:49:15,0,800,78.20
2025-03-18 01:49:16,0,875,85.53
2025-03-18 01:49:17,0,874,85.43
2025-03-18 01:49:18,0,874,85.43
2025-03-18 01:49:19,0,873,85.34
2025-03-18 01:49:20,0,874,85.43
2025-03-18 01:49:21,0,873,85.34
2025-03-18 01:49:22,0,875,85.53
2025-03-18 01:49:25,0,801,78.30
2025-03-18 01:49:26,0,874,85.43
2025-03-18 01:49:27,0,874,85.43
2025-03-18 01:49:28,0,874,85.43
2025-03-18 01:49:29,0,874,85.43
2025-03-18 01:49:30,0,874,85.43
2025-03-18 01:49:31,0,875,85.53
2025-03-18 01:49:32,0,874,85.43
2025-03-18 01:49:35,0,813,79.47
2025-03-18 01:49:36,0,874,85.43
2025-03-18 01:49:37,0,875,85.53
2025-03-18 01:49:38,0,874,85.43
2025-03-18 01:49:39,0,874,85.43
2025-03-18 01:49:40,0,874,85.43
2025-03-18 01:49:41,0,873,85.34
2025-03-18 01:49:42,0,875,85.53
2025-03-18 01:49:45,0,805,78.69
2025-03-18 01:49:46,0,875,85.53
2025-03-18 01:49:47,0,875,85.53
2025-03-18 01:49:48,0,874,85.43
2025-03-18 01:49:49,0,874,85.43
2025-03-18 01:49:50,0,874,85.43
2025-03-18 01:49:51,0,874,85.43
2025-03-18 01:49:52,0,874,85.43
2025-03-18 01:49:55,0,803,78.49
2025-03-18 01:49:56,0,873,85.34
2025-03-18 01:49:57,0,874,85.43
2025-03-18 01:49:58,0,874,85.43
2025-03-18 01:49:59,0,875,85.53
2025-03-18 01:50:00,0,874,85.43
2025-03-18 01:50:01,0,874,85.43
2025-03-18 01:50:02,0,874,85.43
2025-03-18 01:50:05,0,803,78.49
2025-03-18 01:50:06,0,874,85.43
2025-03-18 01:50:07,0,874,85.43
2025-03-18 01:50:08,0,875,85.53
2025-03-18 01:50:09,0,874,85.43
2025-03-18 01:50:10,0,874,85.43
2025-03-18 01:50:11,0,874,85.43
2025-03-18 01:50:12,0,874,85.43
